turn,object_id,object_type,state,downtime_reason,shortage_flag,missing_inputs,maintenance_event,maintenance_duration,queue_duration,cost,vibration_level,output_qualities,output_count,cycle_time,total_stock,stock_by_type,mat_id_in,mat_type_in,source_in,mat_id_out,mat_type_out,dest_out,blocked_downstream_id
1,INV_COAL,INV,,,,,,,,,,,,,,,,,,COAL108,RAW_COAL,WS2,
1,INV_COPPER,INV,,,,,,,,,,,,,,,,,,COPPER112,RAW_COPPER,WS17,
1,INV_GLASS,INV,,,,,,,,,,,,,,,,,,GLASS115,RAW_GLASS,WS9,
1,INV_RUBBER,INV,,,,,,,,,,,,,,,,,,RUBBER124,RAW_RUBBER,WS15,
1,INV_STEEL,INV,,,,,,,,,,,,,,,,,,STEEL103,COMP_STEEL,WS2,
10,WS9,WS,1,,,,,,0,1,0.03404502273091089,,,,,,,,,,,,
11,INV1,INV,,,,,,,,,,,,,,,,,,MAT138,COMP_CASTING,WS12,
11,INV3,INV,,,,,,,,,,,,,,,,,,MAT140,COMP_TIRE,WS12,
11,INV_COPPER,INV,,,,,,,,,,,,,,,,,,COPPER153,RAW_COPPER,WS6,
11,INV_GLASS,INV,,,,,,,,,,,,,,,,,,GLASS117,RAW_GLASS,WS9,
11,INV_RUBBER,INV,,,,,,,,,,,,,,,,,,RUBBER165,RAW_RUBBER,WS15,
11,WS1,WS,2,,,,,,,8,0.032190043743277344,,,,,,,,,,,,
11,WS10,WS,2,,False,[],,,,1,0.039351005435369096,,,,,,,,,,,,
11,WS11,WS,2,,False,[],,,,1,0.02137871705189394,,,,,,,,,,,,
11,WS12,WS,2,,False,[],maintenance_end,0,,0,0.020514017902668383,,,,,,,,,,,,
11,WS13,WS,1,,True,"[""COMP_BODY"", ""COMP_POWERTRAIN"", ""COMP_CHASSIS""]",,,,2,0.02873089940143348,,,,,,,,,,,,
11,WS14,WS,2,,,,,,,12,0.03140499339147519,,,,,,,,,,,,
11,WS15,WS,2,,False,[],,,,1,0.03949939010775093,,,,,,,,,,,,
11,WS16,WS,1,,True,"[""COMP_ENGINE""]",,,,2,0.030898889065392655,,,,,,,,,,,,
11,WS17,WS,4,maintenance,,,maintenance_start,5,,1,0.025971758432904658,,,,,,,,,,,,
11,WS18,WS,1,,True,"[""COMP_WHEELS""]",,,,2,0.02745622122080569,,,,,,,,,,,,
11,WS19,WS,2,,False,[],,,,1,0.025324678378671344,,,,,,,,,,,,
11,WS2,WS,4,maintenance,,,,,,0,0.03599976124139284,,,,,,,,,,,,
11,WS3,WS,2,,,,,,,8,0.03526968414671929,,,,,,,,,,,,
11,WS4,WS,2,,False,[],,,,1,0.025728456535626307,,,,,,,,,,,,
11,WS6,WS,2,,False,[],,,,1,0.03923400772484348,,,,,,,,,,,,
11,WS7,WS,2,,,,,,,8,0.02422576900778053,,,,,,,,,,,,
11,WS9,WS,2,,False,[],,,,1,0.03712012675074233,,,,,,,,,,,,
